Time;Open;High;Low;Close;Volumn;MA5;MA10;MA20;MA50;MA8;MA13;MA21;MO5;MO8;MO10;MO12;MO13;MO21;RSI5;RSI8;RSI9;RSI10;RSI12;RSI13;RSI14;RSI21;RSI25,
1971.01.04;0.5369;0.5369;0.5369;0.5369;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,
1971.01.05;0.5366;0.5366;0.5366;0.5366;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,
1971.01.06;0.5365;0.5365;0.5365;0.5365;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,
1971.01.07;0.5368;0.5368;0.5368;0.5368;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,
1971.01.08;0.5371;0.5371;0.5371;0.5371;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,
1971.01.11;0.5371;0.5371;0.5371;0.5371;1;0;0;0;0;0;0;0;100.037;0;0;0;0;0;60;0;0;0;0;0;0;0;0,
1971.01.12;0.5371;0.5371;0.5371;0.5371;1;0;0;0;0;0;0;0;100.093;0;0;0;0;0;60;0;0;0;0;0;0;0;0,
1971.01.13;0.5373;0.5373;0.5373;0.5373;1;0;0;0;0;0;0;0;100.149;0;0;0;0;0;69.5238;0;0;0;0;0;0;0;0,
1971.01.14;0.5372;0.5372;0.5372;0.5372;1;0;0;0;0;0;0;0;100.075;100.056;0;0;0;0;60.5181;61.5385;0;0;0;0;0;0;0,
1971.01.15;0.5376;0.5376;0.5376;0.5376;1;0;0;0;0;0;0;0;100.093;100.186;0;0;0;0;76.0377;71.5447;70.5882;0;0;0;0;0;0,
1971.01.18;0.5379;0.5379;0.5379;0.5379;1;0;0;0;0;0;0;0;100.149;100.261;100.186;0;0;0;82.4903;76.7331;75.4601;75;0;0;0;0;0,
1971.01.19;0.5377;0.5377;0.5377;0.5377;1;0;0;0;0;0;0;0;100.112;100.168;100.205;0;0;0;67.372;67.3734;67.1214;67.5;0;0;0;0;0,
1971.01.20;0.5381;0.5381;0.5381;0.5381;1;0;0;0;0;0;0;0;100.149;100.186;100.298;100.224;0;0;77.6242;74.4867;73.6684;73.4091;73.0769;0;0;0;0,
1971.01.21;0.5383;0.5383;0.5383;0.5383;1;0;0;0;0;0;0;0;100.205;100.223;100.279;100.317;100.261;0;81.2972;77.3131;76.3207;75.8486;75.1613;75;0;0;0,
1971.01.22;0.5386;0.5386;0.5386;0.5386;1;0;0;0;0;0;0;0;100.186;100.279;100.279;100.391;100.373;0;85.6988;80.9339;79.7608;79.0517;77.9542;77.6;77.4194;0;0,
1971.01.25;0.5385;0.5385;0.5385;0.5385;1;0;0;0;0;0;0;0;100.112;100.223;100.261;100.317;100.373;0;78.0456;76.2952;75.6399;75.3505;74.892;74.7912;74.8201;0;0,
1971.01.26;0.5388;0.5388;0.5388;0.5388;1;0;0;0;0;0;0;0;100.205;100.298;100.317;100.317;100.373;0;83.5534;80.1884;79.2569;78.6781;77.7522;77.4445;77.2841;0;0,
1971.01.27;0.5386;0.5386;0.5386;0.5386;1;0;0;0;0;0;0;0;100.093;100.186;100.242;100.279;100.279;0;69.106;71.2702;71.3152;71.5256;71.8035;71.9733;72.211;0;0,
1971.01.28;0.5387;0.5387;0.5387;0.5387;1;0;0;0;0;0;0;0;100.074;100.149;100.279;100.298;100.298;0;72.1191;72.9869;72.8457;72.8945;72.9331;73.0063;73.1597;0;0,
1971.01.29;0.5387;0.5387;0.5387;0.5387;1;0;0;0;0;0;0;0;100.019;100.186;100.205;100.261;100.298;0;72.1191;72.9869;72.8457;72.8945;72.9331;73.0063;73.1597;0;0,
1971.02.01;0.5386;0.5386;0.5386;0.5386;1;0;0;0;0;0;0;0;100.019;100.093;100.13;100.261;100.242;0;62.5822;67.7029;68.2377;68.8104;69.6142;69.9793;70.3734;0;0,
1971.02.02;0.5386;0.5386;0.5386;0.5386;1;0;0;0;0;0;0;0;99.9629;100.056;100.167;100.186;100.261;100.317;62.5822;67.7029;68.2377;68.8104;69.6142;69.9793;70.3734;71.7949;0,
1971.02.03;0.5386;0.5386;0.5386;0.5386;1;0;0;0;0;0;0;0;100;100;100.093;100.13;100.186;100.373;62.5822;67.7029;68.2377;68.8104;69.6142;69.9793;70.3734;71.7949;0,
1971.02.04;0.5389;0.5389;0.5389;0.5389;1;0;0;0;0;0;0;0;100.037;100.074;100.111;100.223;100.186;100.447;78.9176;75.6101;74.9943;74.6543;74.1888;74.0786;74.0732;73.9999;0,
1971.02.05;0.5384;0.5384;0.5384;0.5384;1;0;0;0;0;0;0;0;99.9443;99.9258;99.9629;100.056;100.13;100.298;41.3286;51.5639;53.6111;55.4235;58.2454;59.4269;60.5101;65.0943;0,
1971.02.08;0.5385;0.5385;0.5385;0.5385;1;0;0;0;0;0;0;0;99.9814;99.9814;100;100.037;100.074;100.261;47.5716;54.8463;56.4078;57.8371;60.1155;61.0941;62.0084;65.9547;66.6667,
1971.02.09;0.5386;0.5386;0.5386;0.5386;1;0;0;0;0;0;0;0;100;99.9814;99.9629;100;100.056;100.279;53.7264;58.0919;59.1765;60.2297;61.9735;62.7523;63.4998;66.8136;67.3747,
1971.02.10;0.5384;0.5384;0.5384;0.5384;1;0;0;0;0;0;0;0;99.9629;99.9443;99.9629;99.9814;99.9629;100.242;41.5362;49.8944;51.7771;53.485;56.2558;57.4474;58.5493;63.4519;64.5196,
1971.02.11;0.5381;0.5381;0.5381;0.5381;1;0;0;0;0;0;0;0;99.8515;99.9072;99.8886;99.8701;99.9257;100.149;29.1395;40.1756;42.7555;45.0728;48.8768;50.5089;52.0006;58.7927;60.5129,
1971.02.16;0.5385;0.5385;0.5385;0.5385;1;0;0;0;0;0;0;0;100.019;99.9814;99.9629;99.9814;99.9443;100.242;52.6784;53.8683;54.6168;55.4528;57.0678;57.8606;58.6428;62.6339;63.6483,
1971.02.17;0.5387;0.5387;0.5387;0.5387;1;0;0;0;0;0;0;0;100.037;100.019;100.019;100;100.019;100.205;60.8141;59.204;59.3542;59.6853;60.5183;60.9987;61.5107;64.3773;65.0919,
1971.02.18;0.5384;0.5384;0.5384;0.5384;1;0;0;0;0;0;0;0;99.9629;99.9072;99.9629;99.9443;99.9443;100.093;45.9892;49.4076;50.4647;51.526;53.4843;54.4139;55.3144;59.9705;61.2889,
1971.02.19;0.5385;0.5385;0.5385;0.5385;1;0;0;0;0;0;0;0;100.019;100.019;99.9814;99.9814;99.9629;100.149;50.9694;52.4076;53.0989;53.862;55.3706;56.1242;56.8739;60.9071;62.0586,
1971.02.22;0.5388;0.5388;0.5388;0.5388;1;0;0;0;0;0;0;0;100.13;100.056;99.9814;100.037;100.037;100.13;63.567;60.4487;60.2355;60.2478;60.5995;60.8929;61.2437;63.5906;64.2782,
1971.02.23;0.5387;0.5387;0.5387;0.5387;1;0;0;0;0;0;0;0;100.037;100.019;100.056;100.019;100.019;100.074;57.4199;56.7932;56.9839;57.31;58.1232;58.5932;59.0943;62.0986;62.9985,
1971.02.24;0.5389;0.5389;0.5389;0.5389;1;0;0;0;0;0;0;0;100.037;100.093;100.074;100;100.056;100.056;65.7098;62.0401;61.6427;61.4836;61.5512;61.7251;61.9692;63.8783;64.472,
1971.02.25;0.5385;0.5385;0.5385;0.5385;1;0;0;0;0;0;0;0;100.019;100.074;99.9814;100.019;99.9258;100;44.1977;48.561;49.5647;50.51;52.2239;53.034;53.8219;58.1448;59.5328,
